ID,Country,station,location,lon,lat,rl2,rl5,rl10,rl20,Q10,Q20,Q30,Q50,Q80,Q90
G1045,Ethiopia,G1045,Tendaho,40.95,11.75,1403.3258056640625,1832.59033203125,2203.8116861979165,2389.42236328125,922.6076782226563,938.5149169921875,995.7293334960938,1088.762451171875,1432.769140625,1691.551220703125
G1053,Ethiopia,G1053,Adaitu,40.95,11.35,1434.8984375,1854.3209228515625,2217.030802408854,2398.3857421875,891.4579223632812,968.9887573242188,1006.2394653320312,1171.7052001953125,1585.7854980468753,1870.1019775390623
G1067,Ethiopia,G1067,Melka Sedi,40.15,9.15,1357.0552978515625,1614.9195556640625,1837.9166259765625,1949.4151611328125,933.417431640625,993.5382324218749,1016.7693115234374,1167.7474365234375,1376.22578125,1511.299609375
G1074,Ethiopia,G1074,Metahara,39.95,8.85,671.7372436523438,811.9560546875,933.2151285807291,993.8446655273438,495.948828125,499.2706115722656,541.6670043945312,587.9407958984375,711.0654907226562,825.9716064453125
G1603,Ethiopia,G1603,Gambella,34.95,8.25,2075.628662109375,2574.728759765625,3006.343017578125,3222.150146484375,1301.50791015625,1325.52060546875,1386.91630859375,1682.203857421875,2244.362939453125,2422.6116210937503
G1901,Ethiopia,G1901,Omo River Delta,36.05,4.85,5345.4423828125,5912.47119140625,6402.82861328125,6648.00732421875,4406.3244140625,4582.47236328125,4782.3390625,5141.4892578125,5606.6751953125,5660.32177734375
G1902,Ethiopia,G1902,Na,42.05,4.75,443.921875,598.326171875,731.8526204427083,798.6158447265625,280.4273986816406,306.6284118652344,354.2648071289062,402.79656982421875,488.5028930664063,638.2004638671875
G1904,Ethiopia,G1904,Na,44.85,5.05,3038.344970703125,3505.65869140625,3909.7843424479165,4111.84716796875,2029.235791015625,2165.685888671875,2251.8331054687496,2687.5654296875,3289.153125,3535.9640625
G1905,Ethiopia,G1905,Na,44.45,5.45,3057.921630859375,3530.08251953125,3938.4002278645835,4142.55908203125,2094.4224121093753,2170.078759765625,2296.85029296875,2679.459228515625,3288.8853515625,3577.4691406250004
G1906,Ethiopia,G1906,Na,44.15,5.55,3081.83642578125,3558.365234375,3970.4599609375,4176.50732421875,2143.06728515625,2154.85791015625,2305.509521484375,2657.480712890625,3294.06796875,3611.9744140625
G1907,Ethiopia,G1907,Na,43.05,6.05,3148.833251953125,3613.4208984375,4015.1888020833335,4216.07275390625,2022.526904296875,2144.17734375,2347.7322753906246,2802.16064453125,3267.143896484375,3655.176123046875
G4951,Ethiopia,G4951,Na,41.65,11.15,1301.3746337890625,1723.4732666015625,2088.497762044271,2271.010009765625,838.482568359375,879.3018188476562,937.2447631835937,1079.59375,1543.6714355468753,1633.9280029296876
G4953,Ethiopia,G4953,Bahir Dar,37.35,11.55,723.4513549804688,849.22412109375,957.990478515625,1012.3736572265625,613.488818359375,652.3878173828125,670.4457641601563,706.9403686523438,819.8893676757813,900.7261108398438
G4954,Ethiopia,G4954,Na,41.65,11.05,258.0003967285156,461.0303955078125,636.6075846354166,724.3961791992188,70.23377075195312,81.35906066894532,111.9245864868164,140.6224365234375,277.98308715820315,339.22943725585935
G4957,Ethiopia,G4957,Nr. BAHIR DAR,37.65,11.75,298.8839416503906,341.8687744140625,379.0413818359375,397.627685546875,253.63200683593752,273.3517639160156,280.022265625,294.85455322265625,316.7887268066406,327.87647094726566
G4960,Ethiopia,G4960,Na,35.15,10.85,14106.119140625,15115.3671875,15988.1484375,16424.5390625,12684.23046875,13168.6408203125,13780.051171875,14257.443359375,14537.696484375,14791.1162109375
G4965,Ethiopia,G4965,Nr. ADDIS ZEMEN,37.75,12.05,305.7332458496094,351.99542236328125,392.0022379557292,412.0056457519531,232.3468017578125,253.11602172851562,267.3280395507812,287.1391296386719,329.9875,350.07536010742183
G4969,Ethiopia,G4969,Na,35.25,10.45,13544.32421875,14553.90625,15426.9765625,15863.51171875,12179.74453125,12692.805078125,12949.581640625,13589.7568359375,14075.0400390625,14115.5576171875
G4977,Ethiopia,G4977,Nr. MARAWI,37.05,11.35,470.8480224609375,657.644775390625,819.1837565104166,899.9532470703125,199.24537353515626,211.9244598388672,255.3706115722656,335.212646484375,515.939990234375,608.4440673828126
G4979,Ethiopia,G4979,Na,35.75,10.05,10601.294921875,11501.1513671875,12279.3330078125,12668.423828125,9678.2302734375,9865.9626953125,9937.34375,10352.615234375,11364.965625,11637.942578125001
G4980,Ethiopia,G4980,Nr. Kessie,38.15,10.05,6201.88525390625,6906.91015625,7516.604817708333,7821.4521484375,5339.487011718749,5552.3017578125,5663.54482421875,6243.58154296875,6571.5091796875,6876.55849609375
G4983,Ethiopia,G4983,Na,35.75,9.85,3193.931396484375,3643.375732421875,4032.0484212239585,4226.384765625,2466.90869140625,2668.31396484375,2748.1588378906254,2886.707275390625,3443.10859375,3491.5102050781247
G5056,Ethiopia,G5056,Na,33.15,8.05,403.74676513671875,491.1005554199219,566.6427714029948,604.4138793945312,282.7459350585937,306.36939697265626,339.04011230468745,377.8080139160156,423.68041992187506,491.13862915039067
G5068,Ethiopia,G5068,Na,42.05,7.65,369.4870300292969,652.5377807617188,897.315694173177,1019.7046508789062,142.55823669433593,149.1867706298828,156.79111328124998,197.8168487548828,421.10477905273444,609.380096435547
G5076,Ethiopia,G5076,Na,41.95,7.55,3192.5654296875,3534.38671875,3829.9884440104165,3977.789306640625,1771.56669921875,2138.990185546875,2316.924853515625,2824.35546875,3045.096728515625,3443.9356445312505
G5081,Ethiopia,G5081,Na,42.15,7.35,3285.805419921875,3735.096435546875,4123.636311848958,4317.90625,1835.4241943359375,2156.84306640625,2346.919677734375,2843.937744140625,3134.779150390625,3756.625439453125
G5082,Ethiopia,G5082,Na,42.25,7.35,84.53252410888672,156.02813720703125,217.8564453125,248.77059936523438,19.02113609313965,24.50960350036621,33.80096282958984,56.39765167236328,83.83028411865236,136.89676513671878
G5115,Ethiopia,G5115,Na,40.85,5.75,1520.287353515625,1783.8065185546875,2011.6938069661458,2125.637451171875,1269.3998046875001,1303.876025390625,1339.9197265624998,1462.7940673828125,1616.599755859375,1697.9927978515625
G5118,Ethiopia,G5118,Na,40.85,5.65,860.5435180664062,1036.8057861328125,1189.2346598307292,1265.4490966796875,637.1684936523437,705.57109375,757.3428955078125,828.6470947265625,982.2738647460938,1075.8986083984375
G5141,Ethiopia,G5141,Na,41.95,4.35,2268.956787109375,2708.761962890625,3089.098876953125,3279.267333984375,1995.8260253906249,2039.3770263671877,2126.044482421875,2333.960205078125,2500.032470703125,2799.6431152343753
G5142,Ethiopia,G5142,Na,42.05,4.35,443.62860107421875,609.3217163085938,752.6105346679688,824.2549438476562,287.696142578125,305.4343505859375,360.72480468749995,410.3746032714844,463.11972656250003,650.1056030273439
G5145,Ethiopia,G5145,Na,42.05,4.25,2523.257568359375,3067.432861328125,3538.0269368489585,3773.323974609375,2110.3375,2238.56572265625,2393.523388671875,2571.630859375,2762.577001953125,2995.742626953125
G6107,Ethiopia,G6107,Abetlti,37.55,8.25,1706.16552734375,1903.06005859375,2073.3312174479165,2158.466796875,1544.492822265625,1583.198876953125,1619.3146484375002,1718.6417236328125,1764.6446044921877,1834.0325439453125
G6108,Ethiopia,G6108,Woltkite,37.75,8.25,1798.4412841796875,2084.093994140625,2331.1221516927085,2454.63623046875,1010.64658203125,1243.3411865234375,1297.5740234375,1417.0748291015625,1602.2974853515625,1746.2735595703125
G6109,Ethiopia,G6109,Asetndabo,37.25,7.75,418.324462890625,449.76690673828125,476.9578450520833,490.5533142089844,380.6339416503906,393.2671203613281,407.81834106445314,418.6151123046875,449.2731140136719,453.91655273437505
G6110,Ethiopia,G6110,Woltkite,37.55,8.35,111.32369995117188,136.9827880859375,159.17237345377603,170.2671661376953,84.0580551147461,93.20994567871094,101.69151763916015,110.82093048095703,126.17849578857422,142.94719848632815
G6111,Ethiopia,G6111,Shetbe,36.35,7.45,284.2264709472656,407.65814208984375,514.3999226888021,567.7708129882812,152.2864532470703,165.046435546875,186.5736877441406,239.7519073486328,265.85716552734374,345.9165954589844
G6112,Ethiopia,G6112,Sekta,36.75,7.65,74.4368667602539,83.03060150146484,90.46233367919922,94.1781997680664,,,,,,
